sample_id,run_name,question,ground_truth,strict_correct,lenient_correct,gemini_verdict,category,trial_id,nudge_mode,plan_code_alignment,o_p_disagreement,nudge_triggered,nudge_count,crashed,crash_message,answer_detected_at_turn,execution_scalar,verbal_scalar,verbal_execution_disagree,drift_onset_turn,drift_onset_tokens,drift_onset_sec,re_anchor_turn,re_anchor_tokens
qrdata_original_qrdata_0_0,qrdata_lambda_inproc_summary,Compute the proportion of patients in the treatment group who had a stroke by the end of their first year. Please round to the nearest hundredth.,0.20,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.2,2.0,True,,,,,
qrdata_original_qrdata_1_1,qrdata_lambda_inproc_summary,What proportion of patients in the treatment group were pain free 24 hours after receiving acupuncture? Please round to the nearest hundredth.,0.23,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.23,2.0,True,,,,,
qrdata_original_qrdata_2_2,qrdata_lambda_inproc_summary,What proportion of patients in the treatment group experienced improvement in symptoms? Please round to the nearest hundredth.,0.78,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.78,78.0,False,,,,,
qrdata_original_qrdata_3_3,qrdata_lambda_inproc_summary,What proportion of patients in the control group experienced improvement in symptoms? Please round to the nearest hundredth.,0.80,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.8,2.0,True,,,,,
qrdata_original_qrdata_4_4,qrdata_lambda_inproc_summary,"In which group did a higher percentage of patients experience improvement in symptoms? Please answer with ""treatment group"" or ""control group"".",control group,False,True,correct,early_exit_recovered,0,targeted,,,True,2,False,,,,,,,,,,
qrdata_original_qrdata_5_5,qrdata_lambda_inproc_summary,How many participants were included in the survey?,1691,True,True,,clean,0,targeted,,,False,0,False,,1,1691.0,1691.0,False,,,,,
qrdata_original_qrdata_6_6,qrdata_lambda_inproc_summary,Estimate the median AQI value of this sample. Please round to the nearest integer.,30,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,30.0,91.0,True,,,,,
qrdata_original_qrdata_7_7,qrdata_lambda_inproc_summary,Estimate the interquartile range of AQI in this sample. Please round to the nearest hundredth.,19.50,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,19.5,50.0,True,,,,,
qrdata_original_qrdata_8_8,qrdata_lambda_inproc_summary,"What proportion of these Tampa, FL voters identify themselves as conservatives? Please round to the nearest hundredth.",0.41,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.41,2.0,True,,,,,
qrdata_original_qrdata_9_9,qrdata_lambda_inproc_summary,"What proportion of these Tampa, FL voters identify themselves as conservatives and are in favor of the citizenship option? Please round to the nearest hundredth.",0.06,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.06,2.0,True,,,,,
qrdata_original_qrdata_10_10,qrdata_lambda_inproc_summary,"What proportion of these Tampa, FL voters who identify themselves as conservatives are also in favor of the citizenship option? Please round to the nearest hundredth.",0.15,True,True,,clean,0,targeted,,,False,0,False,,1,0.15,15.0,False,,,,,
